student_id,item_template_id,game_type,axis,fine_skill,attempts,correct,accuracy,slow_rate,sparse_template
stu_1776848582102_8186,compare_numbers__Equal__3digits,compare_numbers,comparison_skill,number_comparison,1,1,1.0,0.0,False
stu_1776848582102_8186,compare_numbers__Greater__3digits,compare_numbers,comparison_skill,number_comparison,1,1,1.0,1.0,False
stu_1776848582102_8186,compare_numbers__Less__3digits,compare_numbers,comparison_skill,number_comparison,1,1,1.0,1.0,False
stu_1776848582102_8186,decompose_number__3digits__2parts__zeroFalse,decompose_number,number_sense,place_value_decomposition,2,2,1.0,0.0,False
stu_1776848582102_8186,decompose_number__3digits__2parts__zeroFalse,decompose_number,visual_matching,place_value_decomposition,2,2,1.0,0.0,False
stu_1776848582102_8186,decompose_number__3digits__3parts__zeroFalse,decompose_number,number_sense,place_value_decomposition,2,2,1.0,0.0,False
stu_1776848582102_8186,decompose_number__3digits__3parts__zeroFalse,decompose_number,visual_matching,place_value_decomposition,2,2,1.0,0.0,False
stu_1776848582102_8186,find_previous_next_number__1digits__low_number_edge,find_previous_next_number,number_sense,number_sequencing,1,1,1.0,0.0,True
stu_1776848582102_8186,find_previous_next_number__1digits__low_number_edge,find_previous_next_number,sequential_thinking,number_sequencing,1,1,1.0,0.0,True
stu_1776848582102_8186,find_previous_next_number__2digits__normal_range,find_previous_next_number,number_sense,number_sequencing,1,1,1.0,0.0,False
stu_1776848582102_8186,find_previous_next_number__2digits__normal_range,find_previous_next_number,sequential_thinking,number_sequencing,1,1,1.0,0.0,False
stu_1776848582102_8186,find_previous_next_number__3digits__normal_range,find_previous_next_number,number_sense,number_sequencing,2,1,0.5,0.0,False
stu_1776848582102_8186,find_previous_next_number__3digits__normal_range,find_previous_next_number,sequential_thinking,number_sequencing,2,1,0.5,0.0,False
stu_1776848582102_8186,identify_place_value__2digits__all_digits_distinct,identify_place_value,number_sense,place_value_identification,4,0,0.0,0.0,False
stu_1776848582102_8186,identify_place_value__2digits__all_digits_same,identify_place_value,number_sense,place_value_identification,2,2,1.0,0.0,False
stu_1776848582102_8186,identify_place_value__3digits__all_digits_same,identify_place_value,number_sense,place_value_identification,1,1,1.0,0.0,True
stu_1776848582102_8186,identify_place_value__3digits__has_repeated_digits,identify_place_value,number_sense,place_value_identification,2,0,0.0,0.0,False
stu_1776848582102_8186,order_numbers__asc__seq5__3digits,order_numbers,number_sense,number_ordering,1,1,1.0,0.0,False
stu_1776848582102_8186,order_numbers__asc__seq5__3digits,order_numbers,sequential_thinking,number_ordering,1,1,1.0,0.0,False
stu_1776848582102_8186,order_numbers__desc__seq2__3digits,order_numbers,number_sense,number_ordering,1,1,1.0,0.0,False
stu_1776848582102_8186,order_numbers__desc__seq2__3digits,order_numbers,sequential_thinking,number_ordering,1,1,1.0,0.0,False
stu_1776848582102_8186,order_numbers__desc__seq3__3digits,order_numbers,number_sense,number_ordering,1,1,1.0,0.0,False
stu_1776848582102_8186,order_numbers__desc__seq3__3digits,order_numbers,sequential_thinking,number_ordering,1,1,1.0,0.0,False
stu_1776848747452_2240,compare_numbers__Equal__2digits,compare_numbers,comparison_skill,number_comparison,1,1,1.0,0.0,True
stu_1776848747452_2240,compare_numbers__Equal__3digits,compare_numbers,comparison_skill,number_comparison,1,1,1.0,0.0,False
stu_1776848747452_2240,compare_numbers__Greater__2digits,compare_numbers,comparison_skill,number_comparison,1,0,0.0,1.0,False
stu_1776848747452_2240,compare_numbers__Greater__3digits,compare_numbers,comparison_skill,number_comparison,1,0,0.0,0.0,False
stu_1776848747452_2240,compare_numbers__Less__2digits,compare_numbers,comparison_skill,number_comparison,1,0,0.0,0.0,False
stu_1776848747452_2240,compare_numbers__Less__3digits,compare_numbers,comparison_skill,number_comparison,1,1,1.0,0.0,False
stu_1776848747452_2240,find_previous_next_number__2digits__normal_range,find_previous_next_number,number_sense,number_sequencing,1,1,1.0,0.0,False
stu_1776848747452_2240,find_previous_next_number__2digits__normal_range,find_previous_next_number,sequential_thinking,number_sequencing,1,1,1.0,0.0,False
stu_1776848747452_2240,find_previous_next_number__3digits__normal_range,find_previous_next_number,number_sense,number_sequencing,1,1,1.0,0.0,False
stu_1776848747452_2240,find_previous_next_number__3digits__normal_range,find_previous_next_number,sequential_thinking,number_sequencing,1,1,1.0,0.0,False
stu_1776848747452_2240,order_numbers__asc__seq3__2digits,order_numbers,number_sense,number_ordering,1,0,0.0,0.0,False
stu_1776848747452_2240,order_numbers__asc__seq3__2digits,order_numbers,sequential_thinking,number_ordering,1,0,0.0,0.0,False
stu_1776848747452_2240,order_numbers__asc__seq3__3digits,order_numbers,number_sense,number_ordering,2,1,0.5,0.0,False
stu_1776848747452_2240,order_numbers__asc__seq3__3digits,order_numbers,sequential_thinking,number_ordering,2,1,0.5,0.0,False
