student_id,test_id,game_type,attempt_idx,log_idx,item_key,axis,axis_weight,fine_skill,operation,skill_subtype,question_type,format,correct,time_spent_ms,answer_time_category,is_slow,mistake_type,num_digits,complexity_level,difficulty_zone,sequence_length,started_at,finished_at,question,selected,correct_answer,answered,expected,given,comparison_type,order_direction,operations_expected,operations_used
stu_1776848582102_8186,test_1776848340577_ghi7b5y,compare_numbers,0,0,compare_numbers|attempt=0|log=0|41ba2b78fc,comparison_skill,1.0,number_comparison,,Greater,Comparison,Horizontal,1,43866,slow,1,,3.0,medium,,,2026-04-22T09:19:40.315Z,2026-04-22T09:21:07.125Z,,,,,,,Greater,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,compare_numbers,0,1,compare_numbers|attempt=0|log=1|991f772d69,comparison_skill,1.0,number_comparison,,Less,Comparison,Horizontal,1,31058,slow,1,,3.0,medium,,,2026-04-22T09:19:40.315Z,2026-04-22T09:21:07.125Z,,,,,,,Less,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,compare_numbers,0,2,compare_numbers|attempt=0|log=2|f662966fca,comparison_skill,1.0,number_comparison,,Equal,Comparison,Horizontal,1,11885,medium,0,,3.0,medium,,,2026-04-22T09:19:40.315Z,2026-04-22T09:21:07.125Z,,,,,,,Equal,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,0,decompose_number|attempt=0|log=0|4457dfbb5e,number_sense,1.0,number_decomposition,,Decomposition,Decomposition,Visual,1,47863,fast,0,,3.0,medium,,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,,,,,"[200, 3]","[200, 3]",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,1,decompose_number|attempt=0|log=1|a7bfed2279,number_sense,1.0,number_decomposition,,Decomposition,Decomposition,Visual,1,41898,fast,0,,3.0,medium,,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,,,,,"[600, 20, 2]","[600, 20, 2]",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,2,decompose_number|attempt=0|log=2|ca2a8d7b6f,number_sense,1.0,number_decomposition,,Decomposition,Decomposition,Visual,1,79288,fast,0,,3.0,medium,,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,,,,,"[800, 80]","[800, 80]",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,3,decompose_number|attempt=0|log=3|a51559b15d,number_sense,1.0,number_decomposition,,Decomposition,Decomposition,Visual,1,60009,fast,0,,3.0,medium,,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,,,,,"[300, 50, 7]","[300, 50, 7]",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,0,0,find_previous_next_number|attempt=0|log=0|0fff32e99c,sequential_thinking,1.0,previous_next_number,,PreviousAndNext,Sequence,Horizontal,1,110760,medium,0,,3.0,medium,100-109,,2026-04-22T09:16:22.083Z,2026-04-22T09:17:48.529Z,105,,,,"[104, 106]","[104, 106]",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,0,1,find_previous_next_number|attempt=0|log=1|b72fa6aa66,sequential_thinking,1.0,previous_next_number,,PreviousAndNext,Sequence,Horizontal,0,86446,medium,0,OffByOne,3.0,medium,460-469,,2026-04-22T09:16:22.083Z,2026-04-22T09:17:48.529Z,463,,,,"[462, 464]","[464, 465]",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,1,0,find_previous_next_number|attempt=1|log=0|b3bf4a87b7,sequential_thinking,1.0,previous_next_number,,PreviousAndNext,Sequence,Horizontal,1,67579,medium,0,,1.0,very-easy,0-9,,2026-04-22T09:18:56.249Z,2026-04-22T09:19:40.185Z,8,,,,"[7, 9]","[7, 9]",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,1,1,find_previous_next_number|attempt=1|log=1|d632a6f4b6,sequential_thinking,1.0,previous_next_number,,PreviousAndNext,Sequence,Horizontal,1,43936,fast,0,,2.0,easy,40-49,,2026-04-22T09:18:56.249Z,2026-04-22T09:19:40.185Z,42,,,,"[41, 43]","[41, 43]",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,identify_place_value,0,0,identify_place_value|attempt=0|log=0|34f163ddf0,number_sense,1.0,place_value_identification,,PlaceValue,PlaceValue,Visual,1,32206,fast,0,,3.0,medium,,,2026-04-22T09:28:33.615Z,2026-04-22T09:29:08.592Z,,,,,"{""pos_0"": 5, ""pos_1"": 5, ""pos_2"": 5}","{""pos_0"": 5, ""pos_1"": 5, ""pos_2"": 5}",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,identify_place_value,0,1,identify_place_value|attempt=0|log=1|5513e1cb5d,number_sense,1.0,place_value_identification,,PlaceValue,PlaceValue,Visual,0,43218,fast,0,PlaceValueMisidentification,3.0,medium,,,2026-04-22T09:28:33.615Z,2026-04-22T09:29:08.592Z,,,,,"{""pos_0"": 4, ""pos_1"": 8, ""pos_2"": 8}","{""pos_0"": 8, ""pos_1"": 8, ""pos_2"": 4}",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,identify_place_value,0,2,identify_place_value|attempt=0|log=2|e77d7ddc73,number_sense,1.0,place_value_identification,,PlaceValue,PlaceValue,Visual,0,34976,fast,0,PlaceValueMisidentification,3.0,medium,,,2026-04-22T09:28:33.615Z,2026-04-22T09:29:08.592Z,,,,,"{""pos_0"": 2, ""pos_1"": 9, ""pos_2"": 9}","{""pos_0"": 9, ""pos_1"": 9, ""pos_2"": 2}",,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,identify_place_value,1,0,identify_place_value|attempt=1|log=0|c22a0d857d,number_sense,1.0,place_value_identification,,PlaceValue,PlaceValue,Visual,0,28146,fast,0,PlaceValueMisidentification,2.0,easy,,,2026-04-22T09:29:57.469Z,2026-04-22T09:30:15.385Z,,,,,"{""pos_0"": 9, ""pos_1"": 2}","{""pos_0"": 2, ""pos_1"": 9}",,,,
