student_id,assessment_id,assessment_status,fuzzy_status,axis,mastery_score,fuzzy_state,evidence_count,fuzzy_score,fuzzy_coverage,membership_low,membership_medium,membership_high
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,full_assessment,arithmetic_fluency,1,emerging,23,30,1,0.4533029612756264,0,0
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,full_assessment,number_sense,1,emerging,23,52,1,0,0.9456,0.02165605095541401
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,full_assessment,sequential_thinking,1,emerging,23,94,1,0,0,0.8654205607476635
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,full_assessment,comparison_skill,1,emerging,23,80,1,0,0,0.6190476190476191
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,full_assessment,visual_matching,1,emerging,23,50,0,0,1,0
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,full_assessment,audio_recognition,1,emerging,23,30,1,0.4,0,0
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,full_assessment,arithmetic_fluency,1.4,emerging,14,30,1,0.4533029612756264,0,0
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,full_assessment,number_sense,1.4,emerging,14,30,1,0.4110429447852761,0,0
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,full_assessment,sequential_thinking,1.4,emerging,14,72,1,0,0.0409638554216865,0.3719626168224298
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,full_assessment,comparison_skill,1.4,emerging,14,43,1,0.09473684210526316,0.76,0
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,full_assessment,visual_matching,1.4,emerging,14,50,0,0,1,0
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,full_assessment,audio_recognition,1.4,emerging,14,30,1,0.4,0,0
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,full_assessment,arithmetic_fluency,1,emerging,31,78,1,0,0,0.5124653739612188
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,full_assessment,number_sense,1,emerging,31,100,1,0,0,0
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,full_assessment,sequential_thinking,1,emerging,31,90,1,0,0,0.7757009345794392
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,full_assessment,comparison_skill,1,emerging,31,100,1,0,0,0
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,full_assessment,visual_matching,1,emerging,31,50,0,0,1,0
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,full_assessment,audio_recognition,1,emerging,31,83,1,0,0,0.66
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,full_assessment,arithmetic_fluency,1.4,emerging,13,30,1,0.4533029612756264,0,0
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,full_assessment,number_sense,1.4,emerging,13,30,1,0.4110429447852761,0,0
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,full_assessment,sequential_thinking,1.4,emerging,13,94,1,0,0,0.8654205607476635
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,full_assessment,comparison_skill,1.4,emerging,13,100,1,0,0,0
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,full_assessment,visual_matching,1.4,emerging,13,50,0,0,1,0
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,full_assessment,audio_recognition,1.4,emerging,13,30,1,0.4,0,0
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,partial_assessment,arithmetic_fluency,1,emerging,15,30,1,0.4533029612756264,0,0
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,partial_assessment,number_sense,1,emerging,15,52,1,0,0.9456,0.02165605095541401
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,partial_assessment,sequential_thinking,1,emerging,15,94,1,0,0,0.8654205607476635
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,partial_assessment,comparison_skill,1,emerging,15,100,1,0,0,0
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,partial_assessment,visual_matching,1,emerging,15,50,0,0,1,0
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,partial_assessment,audio_recognition,1,emerging,15,30,1,0.4,0,0
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,5.61,proficient,24,88,1,0,0,0.5656108597285068
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,5.61,proficient,24,95,1,0,0,0.875
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,5.61,proficient,24,97,1,0,0,0.9234042553191489
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,5.61,proficient,24,100,1,0,0,0
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,5.61,proficient,24,50,0,0,1,0
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,5.61,proficient,24,50,0,0,1,0
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,5.61,proficient,20,93,1,0,0,0.746606334841629
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,5.61,proficient,20,97,1,0,0,0.925
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,5.61,proficient,20,98,1,0,0,0.948936170212766
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,5.61,proficient,20,100,1,0,0,0
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,5.61,proficient,20,50,0,0,1,0
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,5.61,proficient,20,50,0,0,1,0
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,5.61,proficient,27,90,1,0,0,0.6380090497737556
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,5.61,proficient,27,96,1,0,0,0.9
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,5.61,proficient,27,98,1,0,0,0.948936170212766
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,5.61,proficient,27,100,1,0,0,0
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,5.61,proficient,27,50,0,0,1,0
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,5.61,proficient,27,50,0,0,1,0
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,1,emerging,24,29,1,0.5993091537132987,0,0
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,1,emerging,24,88,1,0,0,0.7
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,1,emerging,24,61,1,0,0.9885714285714288,0.00425531914893611
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,1,emerging,24,30,1,0.3684210526315789,0.06666666666666667,0
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,1,emerging,24,50,0,0,1,0
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,1,emerging,24,50,0,0,1,0
stu_1777023761689_8905,test_1781049725283_3of3fqe,completed_original,full_assessment,arithmetic_fluency,3,developing,47,74,1,0,0.8156028368794326,0.058823529411764705
stu_1777023761689_8905,test_1781049725283_3of3fqe,completed_original,full_assessment,number_sense,3,developing,47,74,1,0,0.06666666666666667,0.35
stu_1777023761689_8905,test_1781049725283_3of3fqe,completed_original,full_assessment,sequential_thinking,3,developing,47,30,1,0.5443037974683544,0,0
stu_1777023761689_8905,test_1781049725283_3of3fqe,completed_original,full_assessment,comparison_skill,3,developing,47,100,1,0,0,0
stu_1777023761689_8905,test_1781049725283_3of3fqe,completed_original,full_assessment,visual_matching,3,developing,47,50,0,0,1,0
stu_1777023761689_8905,test_1781049725283_3of3fqe,completed_original,full_assessment,audio_recognition,3,developing,47,50,0,0,1,0
stu_1777023761898_3121,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,5.61,proficient,25,90,1,0,0,0.6380090497737556
stu_1777023761898_3121,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,5.61,proficient,25,96,1,0,0,0.9
stu_1777023761898_3121,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,5.61,proficient,25,98,1,0,0,0.948936170212766
stu_1777023761898_3121,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,5.61,proficient,25,100,1,0,0,0
stu_1777023761898_3121,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,5.61,proficient,25,50,0,0,1,0
stu_1777023761898_3121,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,5.61,proficient,25,50,0,0,1,0
stu_1777023762111_459,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,5.61,proficient,20,93,1,0,0,0.746606334841629
stu_1777023762111_459,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,5.61,proficient,20,97,1,0,0,0.925
stu_1777023762111_459,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,5.61,proficient,20,98,1,0,0,0.948936170212766
stu_1777023762111_459,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,5.61,proficient,20,100,1,0,0,0
stu_1777023762111_459,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,5.61,proficient,20,50,0,0,1,0
stu_1777023762111_459,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,5.61,proficient,20,50,0,0,1,0
stu_1777023762305_6832,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,5.61,proficient,23,95,1,0,0,0.8190045248868778
stu_1777023762305_6832,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,5.61,proficient,23,98,1,0,0,0.95
stu_1777023762305_6832,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,5.61,proficient,23,99,1,0,0,0.9744680851063829
stu_1777023762305_6832,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,5.61,proficient,23,100,1,0,0,0
stu_1777023762305_6832,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,5.61,proficient,23,50,0,0,1,0
stu_1777023762305_6832,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,5.61,proficient,23,50,0,0,1,0
stu_1777023762504_1364,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,5.13,proficient,25,98,1,0,0,0.9276018099547512
stu_1777023762504_1364,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,5.13,proficient,25,85,1,0,0,0.625
stu_1777023762504_1364,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,5.13,proficient,25,99,1,0,0,0.9744680851063829
stu_1777023762504_1364,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,5.13,proficient,25,77,1,0,0,0.5619047619047619
stu_1777023762504_1364,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,5.13,proficient,25,50,0,0,1,0
stu_1777023762504_1364,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,5.13,proficient,25,50,0,0,1,0
stu_1777023762504_1364,test_1781048227348_yh9wms9,completed_reconstructed,full_assessment,arithmetic_fluency,5,proficient,22,95,1,0,0,0.8
stu_1777023762504_1364,test_1781048227348_yh9wms9,completed_reconstructed,full_assessment,number_sense,5,proficient,22,98,1,0,0,0.9384615384615385
stu_1777023762504_1364,test_1781048227348_yh9wms9,completed_reconstructed,full_assessment,sequential_thinking,5,proficient,22,39,1,0.48,0,0
stu_1777023762504_1364,test_1781048227348_yh9wms9,completed_reconstructed,full_assessment,comparison_skill,5,proficient,22,50,0,0,1,0
stu_1777023762504_1364,test_1781048227348_yh9wms9,completed_reconstructed,full_assessment,visual_matching,5,proficient,22,50,0,0,1,0
stu_1777023762504_1364,test_1781048227348_yh9wms9,completed_reconstructed,full_assessment,audio_recognition,5,proficient,22,50,0,0,1,0
stu_1777023762699_4024,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,1.39,emerging,6,30,1,0.5854922279792746,0,0
stu_1777023762699_4024,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,1.39,emerging,6,30,1,0.5,0,0
stu_1777023762699_4024,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,1.39,emerging,6,51,1,0.16164383561643839,0.6131147540983606,0
stu_1777023762699_4024,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,1.39,emerging,6,30,1,0.3684210526315789,0.06666666666666667,0
stu_1777023762699_4024,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,1.39,emerging,6,50,0,0,1,0
stu_1777023762699_4024,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,1.39,emerging,6,50,0,0,1,0
stu_1777023762699_4024,test_1781049725283_3of3fqe,completed_original,full_assessment,arithmetic_fluency,5.02,proficient,52,74,1,0,0.8156028368794326,0.058823529411764705
stu_1777023762699_4024,test_1781049725283_3of3fqe,completed_original,full_assessment,number_sense,5.02,proficient,52,87,1,0,0,0.675
stu_1777023762699_4024,test_1781049725283_3of3fqe,completed_original,full_assessment,sequential_thinking,5.02,proficient,52,83,1,0,0,0.5024390243902438
stu_1777023762699_4024,test_1781049725283_3of3fqe,completed_original,full_assessment,comparison_skill,5.02,proficient,52,90,1,0,0,0.8095238095238095
stu_1777023762699_4024,test_1781049725283_3of3fqe,completed_original,full_assessment,visual_matching,5.02,proficient,52,50,0,0,1,0
stu_1777023762699_4024,test_1781049725283_3of3fqe,completed_original,full_assessment,audio_recognition,5.02,proficient,52,50,0,0,1,0
stu_1777023762902_7362,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,5.16,proficient,20,93,1,0,0,0.746606334841629
stu_1777023762902_7362,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,5.16,proficient,20,97,1,0,0,0.925
stu_1777023762902_7362,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,5.16,proficient,20,98,1,0,0,0.948936170212766
stu_1777023762902_7362,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,5.16,proficient,20,90,1,0,0,0.8095238095238095
stu_1777023762902_7362,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,5.16,proficient,20,50,0,0,1,0
stu_1777023762902_7362,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,5.16,proficient,20,50,0,0,1,0
stu_1777023763129_6667,test_1777023978840_kask7x7,completed_original,full_assessment,arithmetic_fluency,5.14,proficient,25,90,1,0,0,0.6380090497737556
stu_1777023763129_6667,test_1777023978840_kask7x7,completed_original,full_assessment,number_sense,5.14,proficient,25,96,1,0,0,0.9
stu_1777023763129_6667,test_1777023978840_kask7x7,completed_original,full_assessment,sequential_thinking,5.14,proficient,25,98,1,0,0,0.948936170212766
stu_1777023763129_6667,test_1777023978840_kask7x7,completed_original,full_assessment,comparison_skill,5.14,proficient,25,80,1,0,0,0.6190476190476191
stu_1777023763129_6667,test_1777023978840_kask7x7,completed_original,full_assessment,visual_matching,5.14,proficient,25,50,0,0,1,0
stu_1777023763129_6667,test_1777023978840_kask7x7,completed_original,full_assessment,audio_recognition,5.14,proficient,25,50,0,0,1,0
stu_1777340051462_9691,test_1777341418390_7p46nbr,completed_original,full_assessment,arithmetic_fluency,1,emerging,27,75,1,0,1,0
stu_1777340051462_9691,test_1777341418390_7p46nbr,completed_original,full_assessment,number_sense,1,emerging,27,94,1,0,0,0.8
stu_1777340051462_9691,test_1777341418390_7p46nbr,completed_original,full_assessment,sequential_thinking,1,emerging,27,97,1,0,0,0.9027027027027027
stu_1777340051462_9691,test_1777341418390_7p46nbr,completed_original,full_assessment,comparison_skill,1,emerging,27,50,0,0,1,0
stu_1777340051462_9691,test_1777341418390_7p46nbr,completed_original,full_assessment,visual_matching,1,emerging,27,50,0,0,1,0
