student_id,test_id,axis,fuzzy_score,fuzzy_coverage,membership_low,membership_medium,membership_high,fuzzy_confidence,evaluated_grade,fuzzy_rule_fires
stu_1776848582102_8186,test_1776848340577_ghi7b5y,arithmetic_fluency,30,1,0.4,0.0,0.0,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,number_sense,52,1,0.0,0.8,0.0,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,sequential_thinking,94,1,0.0,0.0,0.3,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,comparison_skill,80,1,0.0,0.0,1.0,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,visual_matching,50,0,0.0,0.6666666666666666,0.0,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,audio_recognition,30,1,0.4,0.0,0.0,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848747452_2240,test_1776848340577_ghi7b5y,arithmetic_fluency,30,1,0.4,0.0,0.0,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848747452_2240,test_1776848340577_ghi7b5y,number_sense,30,1,0.4,0.0,0.0,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848747452_2240,test_1776848340577_ghi7b5y,sequential_thinking,72,1,0.0,0.0,0.4666666666666667,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848747452_2240,test_1776848340577_ghi7b5y,comparison_skill,43,1,0.14,0.2,0.0,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848747452_2240,test_1776848340577_ghi7b5y,visual_matching,50,0,0.0,0.6666666666666666,0.0,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848747452_2240,test_1776848340577_ghi7b5y,audio_recognition,30,1,0.4,0.0,0.0,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848878846_8648,test_1776848340577_ghi7b5y,arithmetic_fluency,78,1,0.0,0.0,0.8666666666666667,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848878846_8648,test_1776848340577_ghi7b5y,number_sense,100,1,0.0,0.0,0.0,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848878846_8648,test_1776848340577_ghi7b5y,sequential_thinking,90,1,0.0,0.0,0.5,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848878846_8648,test_1776848340577_ghi7b5y,comparison_skill,100,1,0.0,0.0,0.0,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848878846_8648,test_1776848340577_ghi7b5y,visual_matching,50,0,0.0,0.6666666666666666,0.0,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848878846_8648,test_1776848340577_ghi7b5y,audio_recognition,83,1,0.0,0.0,0.85,0.93,1.0,"{""rG1"": 0, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848879378_2063,test_1776848340577_ghi7b5y,arithmetic_fluency,30,1,0.4,0.0,0.0,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848879378_2063,test_1776848340577_ghi7b5y,number_sense,30,1,0.4,0.0,0.0,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848879378_2063,test_1776848340577_ghi7b5y,sequential_thinking,94,1,0.0,0.0,0.3,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848879378_2063,test_1776848340577_ghi7b5y,comparison_skill,100,1,0.0,0.0,0.0,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
stu_1776848879378_2063,test_1776848340577_ghi7b5y,visual_matching,50,0,0.0,0.6666666666666666,0.0,0.93,1.41,"{""rG1"": 0.4, ""rG2"": 0, ""rG3"": 0, ""rG4"": 0, ""rG5"": 0, ""rG6"": 0}"
